mentor,php,cms,female
mentor,c++,machine translation,female
mentor,java,cloud,female
student,javascript,unit testing,female
mentor,javascript,unit testing,female
mentor,android,security,female
student,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
student,python,mailing lists,female
mentor,python,mailing lists,female
mentor,python,mailing lists,female
mentor,java,cloud,female
mentor,java,cloud,female
student,c++,web,female
mentor,c++,web,female
student,java,educational technology,female
mentor,java,cancer,female
student,javascript,web applications,female
mentor,javascript,web applications,female
mentor,javascript,web applications,female
student,openwrt,mesh,female
mentor,openwrt,mesh,female
mentor,java,program analysis,female
student,postgis,gis,female
mentor,mysql,databases,female
mentor,mysql,databases,female
student,c++,software defined radio,female
mentor,c++,software defined radio,female
mentor,c++,software defined radio,female
student,python,gis,female
mentor,python,gis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
student,c++,partial differential equations,female
mentor,python,artificial intelligence,female
mentor,open hardware,new projects,female
mentor,c++,robotics,female
student,javascript,unit testing,female
mentor,javascript,unit testing,female
mentor,c++,search,female
student,c,kernel,female
mentor,c,kernel,female
mentor,c,kernel,female
mentor,c,reverse engineering,female
student,java,medical records,female
mentor,java,medical records,female
mentor,java,medical records,female
student,julia,statistics,female
mentor,julia,statistics,female
mentor,python,mathematics,female
mentor,python,mathematics,female
mentor,javascript,game theory,female
mentor,javascript,game theory,female
student,java,mobile,female
student,python,science,female
mentor,python,science,female
mentor,javascript,web applications,female
student,python,machine learning,female
mentor,python,machine learning,female
student,c++,office suite,female
mentor,c++,office suite,female
student,c++,numerical and data analysis software,female
mentor,c++,numerical and data analysis software,female
student,r,data science,female
mentor,r,data science,female
student,postgis,gis,female
mentor,java,education,female
student,python,programming languages,female
student,c,media analysis,female
mentor,c,media analysis,female
mentor,php,civic technology,female
mentor,middleware,cloud,female
mentor,python,scientific computing,female
mentor,c++,office suite,female
mentor,c++,office suite,female
student,python,web development,female
mentor,python,web development,female
student,posix,operating systems,female
mentor,posix,operating systems,female
mentor,javascript,environment,female
mentor,javascript,environment,female
student,python,web,female
mentor,python,web,female
mentor,python,web,female
student,open hardware,digital design,female
mentor,open hardware,digital design,female
mentor,open hardware,digital design,female
student,ros,robotics,female
mentor,ros,robotics,female
student,c++,robotics,female
mentor,r,data science,female
mentor,c,real time,female
mentor,python,virtualization,female
mentor,ruby,visualization,female
mentor,ruby,visualization,female
student,open hardware,new projects,female
mentor,open hardware,new projects,female
mentor,python,machine learning,female
mentor,python,machine learning,female
mentor,android,honeynet,female
student,java,cloud,female
mentor,java,cloud,female
mentor,posix,operating systems,female
student,android,education,female
mentor,android,education,female
student,c++,web,female
mentor,c++,web,female
student,python,science,female
mentor,python,science,female
mentor,posix,operating systems,female
mentor,dlang,compilers,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
student,python,image analysis,female
mentor,python,image analysis,female
student,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
student,java,educational technology,female
student,java,fintech,female
